日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2022-06-04,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,402,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-06,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,864,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-06,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,218,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-08,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,966,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-09,payment,エンタメ,スマホ,-,-,,,-,（プレミアム会員で表示）,0,2188,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-10,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,954,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-11,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,66,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-11,payment,大型出費,家電,-,-,,"Apple Pencil",-,（プレミアム会員で表示）,0,14740,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-11,income,その他,-,-,-,,メルカリ,-,（プレミアム会員で表示）,9825,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-12,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1549,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-12,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,40,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-12,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,625,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-13,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,2320,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-13,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,4056,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-13,payment,エンタメ,レジャー,-,-,,温泉,-,（プレミアム会員で表示）,0,680,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-16,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-16,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,351,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-17,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,171,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-17,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,2729,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-17,payment,エンタメ,書籍,-,-,,,-,（プレミアム会員で表示）,0,830,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-17,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,70,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-17,income,その他,-,-,-,,メルカリ,-,（プレミアム会員で表示）,3150,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-18,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,200,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-18,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-18,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,2750,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-18,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-18,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,3100,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-19,payment,美容・衣服,アクセサリー・小物,-,-,,,-,（プレミアム会員で表示）,0,11110,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
